epoch,train_loss,train_ce,train_dice,val_loss,val_miou,lr,time_s
1,1.7277,2.4994,0.9559,1.5778,0.0776,3.33e-05,7189.4
2,1.4560,1.9849,0.9272,1.4113,0.1121,6.67e-05,630.7
3,1.3497,1.7927,0.9068,1.3282,0.1359,1.00e-04,619.2
4,1.2887,1.6876,0.8898,1.2953,0.1642,9.99e-05,618.0
5,1.2340,1.5942,0.8739,1.2669,0.1750,9.96e-05,612.3
6,1.1690,1.4790,0.8589,1.2026,0.2206,9.91e-05,612.1
7,1.1125,1.3817,0.8434,1.1847,0.2517,9.84e-05,607.3
8,1.0798,1.3269,0.8326,1.1832,0.2710,9.76e-05,615.8
9,1.0308,1.2440,0.8177,1.1767,0.2662,9.65e-05,613.7
10,1.0049,1.1989,0.8108,1.1629,0.2784,9.53e-05,605.9
11,0.9724,1.1441,0.8007,1.1551,0.2882,9.39e-05,613.3
12,0.9460,1.0984,0.7936,1.1630,0.2919,9.23e-05,605.8
13,0.9227,1.0614,0.7840,1.1774,0.3033,9.05e-05,602.3
14,0.8888,1.0064,0.7713,1.2115,0.2991,8.86e-05,607.5
15,0.8702,0.9740,0.7664,1.1675,0.3180,8.66e-05,597.6
16,0.8463,0.9334,0.7591,1.1658,0.3152,8.44e-05,629.9
17,0.8231,0.8945,0.7516,1.1827,0.3233,8.21e-05,626.8
