epoch,train_loss,train_ce,train_dice,val_loss,val_miou,lr,time_s
1,1.7136,2.4773,0.9498,1.5623,0.0984,3.33e-05,4189.5
2,1.4451,1.9693,0.9208,1.4172,0.1233,6.67e-05,639.7
3,1.3792,1.8508,0.9077,1.3910,0.1419,1.00e-04,661.6
4,1.3330,1.7694,0.8967,1.3493,0.1475,9.99e-05,652.4
5,1.2966,1.7071,0.8861,1.2728,0.1812,9.96e-05,669.5
6,1.2597,1.6429,0.8766,1.2929,0.1711,9.91e-05,647.6
7,1.2389,1.6058,0.8721,1.2669,0.1728,9.84e-05,645.4
8,1.2056,1.5472,0.8641,1.2372,0.2169,9.76e-05,643.9
9,1.1813,1.5074,0.8552,1.2096,0.2215,9.65e-05,648.0
10,1.1557,1.4617,0.8497,1.2248,0.2583,9.53e-05,672.8
11,1.1361,1.4302,0.8421,1.2151,0.2521,9.39e-05,655.8
12,1.0992,1.3659,0.8325,1.1782,0.2694,9.23e-05,647.8
13,1.0811,1.3371,0.8251,1.1945,0.2697,9.05e-05,662.3
14,1.0626,1.3059,0.8193,1.1844,0.2776,8.86e-05,653.4
15,1.0366,1.2630,0.8102,1.1826,0.2907,8.66e-05,640.8
16,1.0177,1.2319,0.8034,1.1845,0.2944,8.44e-05,656.5
17,0.9898,1.1824,0.7973,1.1919,0.2987,8.21e-05,654.9
18,0.9785,1.1659,0.7912,1.1749,0.3111,7.96e-05,660.0
19,0.9471,1.1120,0.7823,1.1985,0.3015,7.70e-05,661.9
20,0.9266,1.0793,0.7740,1.1569,0.3125,7.43e-05,651.8
21,0.9135,1.0597,0.7673,1.1628,0.3218,7.16e-05,656.6
22,0.8825,1.0044,0.7606,1.1739,0.3095,6.87e-05,655.6
23,0.8627,0.9723,0.7531,1.1847,0.3136,6.58e-05,644.0
24,0.8444,0.9430,0.7457,1.2075,0.3177,6.28e-05,649.1
25,0.8214,0.9043,0.7385,1.2005,0.3237,5.98e-05,639.7
26,0.7996,0.8673,0.7319,1.1917,0.3344,5.67e-05,648.4
